order date (DateOrders),Product Name,Order Item Quantity
2015-01-01,Bridgestone e6 Straight Distance NFL San Dieg,3
2015-01-01,Diamondback Women's Serene Classic Comfort Bi,10
2015-01-01,Field & Stream Sportsman 16 Gun Fire Safe,7
2015-01-01,Glove It Imperial Golf Towel,5
2015-01-01,Glove It Urban Brick Golf Towel,5
2015-01-01,Glove It Women's Mod Oval Golf Glove,4
2015-01-01,Nike Men's CJ Elite 2 TD Football Cleat,5
2015-01-01,Nike Men's Dri-FIT Victory Golf Polo,20
2015-01-01,Nike Men's Free 5.0+ Running Shoe,14
2015-01-01,Nike Women's Legend V-Neck T-Shirt,4
2015-01-01,O'Brien Men's Neoprene Life Vest,17
2015-01-01,Pelican Sunstream 100 Kayak,7
2015-01-01,Perfect Fitness Perfect Rip Deck,31
2015-01-01,Team Golf New England Patriots Putter Grip,2
2015-01-01,Team Golf Tennessee Volunteers Putter Grip,4
2015-01-01,Titleist Pro V1 High Numbers Personalized Gol,4
2015-01-01,Under Armour Girls' Toddler Spine Surge Runni,9
2015-01-01,Under Armour Men's Tech II T-Shirt,3
2015-01-02,Bridgestone e6 Straight Distance NFL Carolina,2
2015-01-02,Diamondback Women's Serene Classic Comfort Bi,4
2015-01-02,Field & Stream Sportsman 16 Gun Fire Safe,2
2015-01-02,Nike Dri-FIT Crew Sock 6 Pack,3
2015-01-02,Nike Men's CJ Elite 2 TD Football Cleat,7
2015-01-02,Nike Men's Dri-FIT Victory Golf Polo,12
2015-01-02,Nike Men's Free 5.0+ Running Shoe,8
2015-01-02,O'Brien Men's Neoprene Life Vest,14
2015-01-02,Pelican Sunstream 100 Kayak,4
2015-01-02,Perfect Fitness Perfect Rip Deck,42
2015-01-02,TYR Boys' Team Digi Jammer,3
2015-01-02,Under Armour Girls' Toddler Spine Surge Runni,14
2015-01-02,Under Armour Men's Compression EV SL Slide,1
2015-01-02,adidas Youth Germany Black/Red Away Match Soc,4
2015-01-03,Clicgear 8.0 Shoe Brush,4
2015-01-03,Diamondback Women's Serene Classic Comfort Bi,5
2015-01-03,Field & Stream Sportsman 16 Gun Fire Safe,6
2015-01-03,Glove It Women's Imperial Golf Glove,8
2015-01-03,Glove It Women's Mod Oval 3-Zip Carry All Gol,4
2015-01-03,Hirzl Men's Hybrid Golf Glove,2
2015-01-03,Nike Men's CJ Elite 2 TD Football Cleat,1
2015-01-03,Nike Men's Deutschland Weltmeister Winners Bl,3
2015-01-03,Nike Men's Dri-FIT Victory Golf Polo,10
2015-01-03,Nike Men's Free 5.0+ Running Shoe,14
2015-01-03,Nike Women's Legend V-Neck T-Shirt,2
2015-01-03,O'Brien Men's Neoprene Life Vest,21
2015-01-03,Pelican Sunstream 100 Kayak,4
2015-01-03,Perfect Fitness Perfect Rip Deck,21
2015-01-03,Under Armour Girls' Toddler Spine Surge Runni,14
2015-01-04,Bridgestone e6 Straight Distance NFL San Dieg,4
2015-01-04,Diamondback Women's Serene Classic Comfort Bi,8
2015-01-04,Field & Stream Sportsman 16 Gun Fire Safe,9
2015-01-04,Nike Dri-FIT Crew Sock 6 Pack,2
2015-01-04,Nike Men's CJ Elite 2 TD Football Cleat,7
2015-01-04,Nike Men's Dri-FIT Victory Golf Polo,39
2015-01-04,Nike Men's Free 5.0+ Running Shoe,40
2015-01-04,Nike Women's Legend V-Neck T-Shirt,2
2015-01-04,Nike Women's Tempo Shorts,1
2015-01-04,O'Brien Men's Neoprene Life Vest,29
2015-01-04,Pelican Sunstream 100 Kayak,7
2015-01-04,Perfect Fitness Perfect Rip Deck,43
2015-01-04,Titleist Pro V1x Golf Balls,4
2015-01-04,Titleist Pro V1x High Numbers Golf Balls,5
2015-01-04,Under Armour Girls' Toddler Spine Surge Runni,29
2015-01-05,Diamondback Women's Serene Classic Comfort Bi,7
2015-01-05,Field & Stream Sportsman 16 Gun Fire Safe,5
2015-01-05,Glove It Women's Mod Oval 3-Zip Carry All Gol,3
2015-01-05,Hirzl Men's Hybrid Golf Glove,4
2015-01-05,Nike Men's CJ Elite 2 TD Football Cleat,6
2015-01-05,Nike Men's Comfort 2 Slide,3
2015-01-05,Nike Men's Dri-FIT Victory Golf Polo,20
2015-01-05,Nike Men's Free 5.0+ Running Shoe,8
