Product,Lead Time Demand,Safety Stock,Reorder Point,Forecast Cycle Demand (14d),Current Stock,Order Quantity,Status,Risk Level
Summer dresses,220.0,39.0,259.0,439.0,151,327,Reorder,🔴 High Risk
Nike Men's Dri-FIT Victory Golf Polo,193.0,49.0,242.0,387.0,134,302,Reorder,🔴 High Risk
Perfect Fitness Perfect Rip Deck,224.0,51.0,275.0,448.0,216,283,Reorder,🔴 High Risk
Rock music,163.0,55.0,218.0,326.0,155,226,Reorder,🔴 High Risk
Industrial consumer electronics,146.0,39.0,185.0,292.0,120,211,Reorder,🔴 High Risk
O'Brien Men's Neoprene Life Vest,174.0,46.0,220.0,348.0,203,191,Reorder,🔴 High Risk
Toys ,130.0,49.0,179.0,260.0,121,188,Reorder,🔴 High Risk
Dell Laptop,119.0,37.0,156.0,238.0,94,181,Reorder,🔴 High Risk
Nike Men's Free 5.0+ Running Shoe,114.0,36.0,150.0,227.0,127,136,Reorder,🔴 High Risk
Under Armour Girls' Toddler Spine Surge Runni,96.0,31.0,127.0,191.0,89,133,Reorder,🔴 High Risk
First aid kit,80.0,48.0,128.0,159.0,76,131,Reorder,🔴 High Risk
Children's heaters,81.0,43.0,124.0,163.0,85,121,Reorder,🔴 High Risk
Sports Books ,63.0,54.0,117.0,127.0,64,117,Reorder,🔴 High Risk
Porcelain crafts,78.0,43.0,121.0,153.0,85,111,Reorder,🔴 High Risk
Nike Men's CJ Elite 2 TD Football Cleat,69.0,16.0,85.0,137.0,49,104,Reorder,🔴 High Risk
Men's gala suit,63.0,38.0,101.0,125.0,71,92,Reorder,🔴 High Risk
Adult dog supplies,50.0,45.0,95.0,99.0,59,85,Reorder,🔴 High Risk
CDs of rock,17.0,54.0,71.0,35.0,10,79,Reorder,🔴 High Risk
Web Camera,41.0,45.0,86.0,81.0,47,79,Reorder,🔴 High Risk
Smart watch ,11.0,55.0,66.0,22.0,8,69,Reorder,🔴 High Risk
Fighting video games,19.0,42.0,61.0,36.0,14,64,Reorder,🔴 High Risk
Field & Stream Sportsman 16 Gun Fire Safe,53.0,14.0,67.0,106.0,59,61,Reorder,🔴 High Risk
DVDs ,0.0,61.0,61.0,0.0,0,61,Reorder,🔴 High Risk
Pelican Sunstream 100 Kayak,47.0,13.0,60.0,93.0,46,60,Reorder,🔴 High Risk
Diamondback Women's Serene Classic Comfort Bi,42.0,12.0,54.0,84.0,42,54,Reorder,🔴 High Risk
Baby sweater,0.0,53.0,53.0,0.0,0,53,Reorder,🔴 High Risk
Bag Boy M330 Push Cart,18.0,7.0,25.0,36.0,13,30,Reorder,🔴 High Risk
LIJA Women's Mid-Length Panel Golf Shorts,7.0,11.0,18.0,13.0,7,17,Reorder,🔴 High Risk
Nike Men's Deutschland Weltmeister Winners Bl,4.0,10.0,14.0,8.0,3,15,Reorder,🔴 High Risk
ENO Atlas Hammock Straps,4.0,9.0,13.0,8.0,2,15,Reorder,🔴 High Risk
MDGolf Pittsburgh Penguins Putter,5.0,9.0,14.0,10.0,4,15,Reorder,🔴 High Risk
Brooks Women's Ghost 6 Running Shoe,5.0,9.0,14.0,10.0,4,15,Reorder,🔴 High Risk
Nike Women's Free 5.0 TR FIT PRT 4 Training S,5.0,10.0,15.0,10.0,5,15,Reorder,🔴 High Risk
Team Golf New England Patriots Putter Grip,4.0,8.0,12.0,8.0,2,14,Reorder,🔴 High Risk
Under Armour Women's Ignite Slide,4.0,9.0,13.0,7.0,2,14,Reorder,🔴 High Risk
Polar FT4 Heart Rate Monitor,4.0,9.0,13.0,9.0,4,14,Reorder,🔴 High Risk
TaylorMade White Smoke IN-12 Putter,6.0,8.0,14.0,11.0,5,14,Reorder,🔴 High Risk
LIJA Women's Argyle Golf Polo,6.0,8.0,14.0,10.0,4,14,Reorder,🔴 High Risk
Under Armour Men's Tech II T-Shirt,4.0,8.0,12.0,8.0,3,13,Reorder,🔴 High Risk
Glove It Women's Imperial Golf Glove,4.0,8.0,12.0,8.0,3,13,Reorder,🔴 High Risk
Glove It Women's Mod Oval 3-Zip Carry All Gol,3.0,8.0,11.0,6.0,1,13,Reorder,🔴 High Risk
Titleist Pro V1x Golf Balls,4.0,8.0,12.0,7.0,2,13,Reorder,🔴 High Risk
Under Armour Women's Ignite PIP VI Slide,4.0,8.0,12.0,7.0,2,13,Reorder,🔴 High Risk
Team Golf San Francisco Giants Putter Grip,4.0,8.0,12.0,7.0,2,13,Reorder,🔴 High Risk
Top Flite Women's 2014 XL Hybrid,4.0,8.0,12.0,8.0,3,13,Reorder,🔴 High Risk
Columbia Men's PFG Anchor Tough T-Shirt,4.0,8.0,12.0,8.0,3,13,Reorder,🔴 High Risk
Titleist Pro V1x High Numbers Personalized Go,4.0,8.0,12.0,8.0,3,13,Reorder,🔴 High Risk
Under Armour Hustle Storm Medium Duffle Bag,3.0,8.0,11.0,7.0,2,13,Reorder,🔴 High Risk
Hirzl Women's Hybrid Golf Glove,4.0,8.0,12.0,7.0,2,13,Reorder,🔴 High Risk
Elevation Training Mask 2.0,6.0,8.0,14.0,12.0,7,13,Reorder,🔴 High Risk
Glove It Imperial Golf Towel,4.0,8.0,12.0,8.0,4,12,Reorder,🔴 High Risk
Nike Women's Legend V-Neck T-Shirt,3.0,8.0,11.0,7.0,3,12,Reorder,🔴 High Risk
Team Golf Tennessee Volunteers Putter Grip,4.0,8.0,12.0,8.0,4,12,Reorder,🔴 High Risk
Under Armour Men's Compression EV SL Slide,3.0,8.0,11.0,6.0,2,12,Reorder,🔴 High Risk
Clicgear 8.0 Shoe Brush,3.0,8.0,11.0,6.0,2,12,Reorder,🔴 High Risk
Hirzl Men's Hybrid Golf Glove,4.0,7.0,11.0,7.0,2,12,Reorder,🔴 High Risk
Titleist Pro V1x High Numbers Golf Balls,3.0,8.0,11.0,6.0,2,12,Reorder,🔴 High Risk
Nike Men's Comfort 2 Slide,4.0,8.0,12.0,8.0,4,12,Reorder,🔴 High Risk
Team Golf Pittsburgh Steelers Putter Grip,3.0,8.0,11.0,6.0,2,12,Reorder,🔴 High Risk
adidas Men's F10 Messi TRX FG Soccer Cleat,4.0,8.0,12.0,7.0,3,12,Reorder,🔴 High Risk
Bridgestone e6 Straight Distance NFL Tennesse,4.0,8.0,12.0,7.0,3,12,Reorder,🔴 High Risk
adidas Kids' F5 Messi FG Soccer Cleat,4.0,9.0,13.0,7.0,4,12,Reorder,🔴 High Risk
Merrell Women's Grassbow Sport Hiking Shoe,5.0,7.0,12.0,9.0,4,12,Reorder,🔴 High Risk
Fitbit The One Wireless Activity & Sleep Trac,4.0,8.0,12.0,7.0,3,12,Reorder,🔴 High Risk
Bridgestone e6 Straight Distance NFL San Dieg,4.0,8.0,12.0,7.0,4,11,Reorder,🔴 High Risk
Glove It Urban Brick Golf Towel,4.0,8.0,12.0,7.0,4,11,Reorder,🔴 High Risk
Titleist Pro V1 High Numbers Personalized Gol,3.0,7.0,10.0,7.0,3,11,Reorder,🔴 High Risk
Bridgestone e6 Straight Distance NFL Carolina,4.0,8.0,12.0,7.0,4,11,Reorder,🔴 High Risk
TYR Boys' Team Digi Jammer,4.0,7.0,11.0,7.0,3,11,Reorder,🔴 High Risk
adidas Youth Germany Black/Red Away Match Soc,4.0,8.0,12.0,7.0,4,11,Reorder,🔴 High Risk
Nike Women's Tempo Shorts,4.0,8.0,12.0,7.0,4,11,Reorder,🔴 High Risk
Under Armour Kids' Mercenary Slide,3.0,8.0,11.0,5.0,2,11,Reorder,🔴 High Risk
adidas Men's Germany Black Crest Away Tee,3.0,8.0,11.0,5.0,2,11,Reorder,🔴 High Risk
Clicgear Rovic Cooler Bag,4.0,8.0,12.0,6.0,3,11,Reorder,🔴 High Risk
Under Armour Women's Micro G Skulpt Running S,3.0,7.0,10.0,6.0,2,11,Reorder,🔴 High Risk
Team Golf Texas Longhorns Putter Grip,3.0,8.0,11.0,6.0,3,11,Reorder,🔴 High Risk
Bag Boy Beverage Holder,4.0,8.0,12.0,7.0,4,11,Reorder,🔴 High Risk
Team Golf St. Louis Cardinals Putter Grip,4.0,8.0,12.0,7.0,4,11,Reorder,🔴 High Risk
Nike Kids' Grade School KD VI Basketball Shoe,4.0,8.0,12.0,7.0,4,11,Reorder,🔴 High Risk
Nike Men's Free TR 5.0 TB Training Shoe,4.0,7.0,11.0,8.0,4,11,Reorder,🔴 High Risk
Glove It Women's Mod Oval Golf Glove,3.0,7.0,10.0,6.0,3,10,Reorder,🔴 High Risk
Nike Dri-FIT Crew Sock 6 Pack,4.0,7.0,11.0,7.0,4,10,Reorder,🔴 High Risk
Hirzl Women's Soffft Flex Golf Glove,4.0,7.0,11.0,7.0,4,10,Reorder,🔴 High Risk
LIJA Women's Eyelet Sleeveless Golf Polo,4.0,7.0,11.0,7.0,4,10,Reorder,🔴 High Risk
The North Face Women's Recon Backpack,5.0,6.0,11.0,8.0,4,10,Reorder,🔴 High Risk
Nike Men's Kobe IX Elite Low Basketball Shoe,1.0,5.0,6.0,3.0,0,8,Reorder,🔴 High Risk
Titleist Small Wheeled Travel Cover,4.0,2.0,6.0,8.0,2,8,Reorder,🔴 High Risk
insta-bed Neverflat Air Mattress,1.0,5.0,6.0,2.0,0,7,Reorder,🔴 High Risk
Nike Men's Fingertrap Max Training Shoe,3.0,2.0,5.0,6.0,2,6,Reorder,🔴 High Risk
Cleveland Golf Women's 588 RTX CB Satin Chrom,2.0,2.0,4.0,4.0,1,5,Reorder,🔴 High Risk
LIJA Women's Button Golf Dress,2.0,2.0,4.0,4.0,1,5,Reorder,🔴 High Risk
Merrell Men's All Out Flash Trail Running Sho,3.0,2.0,5.0,5.0,2,5,Reorder,🔴 High Risk
Merrell Women's Siren Mid Waterproof Hiking B,2.0,2.0,4.0,4.0,1,5,Reorder,🔴 High Risk
Mio ALPHA Heart Rate Monitor/Sport Watch,2.0,3.0,5.0,3.0,1,5,Reorder,🔴 High Risk
Polar Loop Activity Tracker,2.0,3.0,5.0,3.0,1,5,Reorder,🔴 High Risk
TaylorMade Women's RBZ SL Rescue,2.0,1.0,3.0,4.0,1,4,Reorder,🔴 High Risk
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,2.0,2.0,4.0,3.0,1,4,Reorder,🔴 High Risk
adidas Brazuca 2014 Official Match Ball,2.0,2.0,4.0,3.0,1,4,Reorder,🔴 High Risk
TaylorMade 2014 Purelite Stand Bag,2.0,2.0,4.0,4.0,2,4,Reorder,🔴 High Risk
Garmin Approach S3 Golf GPS Watch,2.0,2.0,4.0,3.0,1,4,Reorder,🔴 High Risk
Merrell Women's Grassbow Sport Waterproof Hik,2.0,2.0,4.0,3.0,1,4,Reorder,🔴 High Risk
GolfBuddy VT3 GPS Watch,2.0,1.0,3.0,3.0,1,3,Reorder,🔴 High Risk
Cleveland Golf Collegiate My Custom Wedge 588,1.0,1.0,2.0,2.0,0,3,Reorder,🔴 High Risk
Ogio Race Golf Shoes,2.0,2.0,4.0,3.0,2,3,Reorder,🔴 High Risk
Lawn mower,144.0,20.0,164.0,287.0,170,0,Stock OK,🟢 Safe
